"Time Stamp","Time Zone","Name","PTID","Load"
"04/21/2013 00:00:00","EDT","CAPITL",61757,1040.6
"04/21/2013 00:00:00","EDT","CENTRL",61754,1507
"04/21/2013 00:00:00","EDT","DUNWOD",61760,521.7
"04/21/2013 00:00:00","EDT","GENESE",61753,922.8
"04/21/2013 00:00:00","EDT","HUD VL",61758,892.8
"04/21/2013 00:00:00","EDT","LONGIL",61762,1892.5
"04/21/2013 00:00:00","EDT","MHK VL",61756,729.5
"04/21/2013 00:00:00","EDT","MILLWD",61759,224.5
"04/21/2013 00:00:00","EDT","N.Y.C.",61761,4684.1
"04/21/2013 00:00:00","EDT","NORTH",61755,718.2
"04/21/2013 00:00:00","EDT","WEST",61752,1601.3
"04/21/2013 00:05:00","EDT","CAPITL",61757,1033.1
"04/21/2013 00:05:00","EDT","CENTRL",61754,1502.5
"04/21/2013 00:05:00","EDT","DUNWOD",61760,509.1
"04/21/2013 00:05:00","EDT","GENESE",61753,918.3
"04/21/2013 00:05:00","EDT","HUD VL",61758,862.7
"04/21/2013 00:05:00","EDT","LONGIL",61762,1869
"04/21/2013 00:05:00","EDT","MHK VL",61756,718.9
"04/21/2013 00:05:00","EDT","MILLWD",61759,231.3
"04/21/2013 00:05:00","EDT","N.Y.C.",61761,4649.7
"04/21/2013 00:05:00","EDT","NORTH",61755,724.3
"04/21/2013 00:05:00","EDT","WEST",61752,1607.3
"04/21/2013 00:10:00","EDT","CAPITL",61757,1031.5
"04/21/2013 00:10:00","EDT","CENTRL",61754,1478.7
"04/21/2013 00:10:00","EDT","DUNWOD",61760,524.4
"04/21/2013 00:10:00","EDT","GENESE",61753,914.7
"04/21/2013 00:10:00","EDT","HUD VL",61758,865.8
"04/21/2013 00:10:00","EDT","LONGIL",61762,1866.5
"04/21/2013 00:10:00","EDT","MHK VL",61756,726.8
"04/21/2013 00:10:00","EDT","MILLWD",61759,218.5
"04/21/2013 00:10:00","EDT","N.Y.C.",61761,4625.6
"04/21/2013 00:10:00","EDT","NORTH",61755,712.9
"04/21/2013 00:10:00","EDT","WEST",61752,1577.6
"04/21/2013 00:15:00","EDT","CAPITL",61757,1040.9
"04/21/2013 00:15:00","EDT","CENTRL",61754,1467.6
"04/21/2013 00:15:00","EDT","DUNWOD",61760,510.1
"04/21/2013 00:15:00","EDT","GENESE",61753,917.4
"04/21/2013 00:15:00","EDT","HUD VL",61758,835.6
"04/21/2013 00:15:00","EDT","LONGIL",61762,1859.5
"04/21/2013 00:15:00","EDT","MHK VL",61756,728.4
"04/21/2013 00:15:00","EDT","MILLWD",61759,214.2
