"Time Stamp","Time Zone","Name","PTID","Load"
"11/17/2013 00:00:00","EST","CAPITL",61757,1077.2
"11/17/2013 00:00:00","EST","CENTRL",61754,1528.1
"11/17/2013 00:00:00","EST","DUNWOD",61760,565.6
"11/17/2013 00:00:00","EST","GENESE",61753,871.8
"11/17/2013 00:00:00","EST","HUD VL",61758,889.5
"11/17/2013 00:00:00","EST","LONGIL",61762,1892.1
"11/17/2013 00:00:00","EST","MHK VL",61756,782.4
"11/17/2013 00:00:00","EST","MILLWD",61759,258.1
"11/17/2013 00:00:00","EST","N.Y.C.",61761,4789.8
"11/17/2013 00:00:00","EST","NORTH",61755,644.4
"11/17/2013 00:00:00","EST","WEST",61752,1460.6
"11/17/2013 00:05:00","EST","CAPITL",61757,1073
"11/17/2013 00:05:00","EST","CENTRL",61754,1452.1
"11/17/2013 00:05:00","EST","DUNWOD",61760,562.7
"11/17/2013 00:05:00","EST","GENESE",61753,878.1
"11/17/2013 00:05:00","EST","HUD VL",61758,872.9
"11/17/2013 00:05:00","EST","LONGIL",61762,1885.6
"11/17/2013 00:05:00","EST","MHK VL",61756,770.1
"11/17/2013 00:05:00","EST","MILLWD",61759,264.4
"11/17/2013 00:05:00","EST","N.Y.C.",61761,4772.2
"11/17/2013 00:05:00","EST","NORTH",61755,657.3
"11/17/2013 00:05:00","EST","WEST",61752,1483.9
"11/17/2013 00:10:00","EST","CAPITL",61757,1062.7
"11/17/2013 00:10:00","EST","CENTRL",61754,1458.5
"11/17/2013 00:10:00","EST","DUNWOD",61760,562.5
"11/17/2013 00:10:00","EST","GENESE",61753,870
"11/17/2013 00:10:00","EST","HUD VL",61758,882.7
"11/17/2013 00:10:00","EST","LONGIL",61762,1859.5
"11/17/2013 00:10:00","EST","MHK VL",61756,775.5
"11/17/2013 00:10:00","EST","MILLWD",61759,247.2
"11/17/2013 00:10:00","EST","N.Y.C.",61761,4718.7
"11/17/2013 00:10:00","EST","NORTH",61755,649.4
"11/17/2013 00:10:00","EST","WEST",61752,1484.2
"11/17/2013 00:15:00","EST","CAPITL",61757,1046.9
"11/17/2013 00:15:00","EST","CENTRL",61754,1462.8
"11/17/2013 00:15:00","EST","DUNWOD",61760,562
