"Time Stamp","Time Zone","Name","PTID","Load"
"01/13/2013 00:00:00","EST","CAPITL",61757,1136.9
"01/13/2013 00:00:00","EST","CENTRL",61754,1610.4
"01/13/2013 00:00:00","EST","DUNWOD",61760,589.4
"01/13/2013 00:00:00","EST","GENESE",61753,909.8
"01/13/2013 00:00:00","EST","HUD VL",61758,947.1
"01/13/2013 00:00:00","EST","LONGIL",61762,2019.4
"01/13/2013 00:00:00","EST","MHK VL",61756,810.5
"01/13/2013 00:00:00","EST","MILLWD",61759,301.5
"01/13/2013 00:00:00","EST","N.Y.C.",61761,4931.9
"01/13/2013 00:00:00","EST","NORTH",61755,755.8
"01/13/2013 00:00:00","EST","WEST",61752,1518.8
"01/13/2013 00:05:00","EST","CAPITL",61757,1131.9
"01/13/2013 00:05:00","EST","CENTRL",61754,1584
"01/13/2013 00:05:00","EST","DUNWOD",61760,584.5
"01/13/2013 00:05:00","EST","GENESE",61753,891.8
"01/13/2013 00:05:00","EST","HUD VL",61758,958.4
"01/13/2013 00:05:00","EST","LONGIL",61762,1999.8
"01/13/2013 00:05:00","EST","MHK VL",61756,814.5
"01/13/2013 00:05:00","EST","MILLWD",61759,305
"01/13/2013 00:05:00","EST","N.Y.C.",61761,4889
"01/13/2013 00:05:00","EST","NORTH",61755,761.8
"01/13/2013 00:05:00","EST","WEST",61752,1532.2
"01/13/2013 00:10:00","EST","CAPITL",61757,1121.4
"01/13/2013 00:10:00","EST","CENTRL",61754,1547.4
"01/13/2013 00:10:00","EST","DUNWOD",61760,586.1
"01/13/2013 00:10:00","EST","GENESE",61753,894.1
"01/13/2013 00:10:00","EST","HUD VL",61758,951.2
"01/13/2013 00:10:00","EST","LONGIL",61762,1985.7
"01/13/2013 00:10:00","EST","MHK VL",61756,834
"01/13/2013 00:10:00","EST","MILLWD",61759,289.9
"01/13/2013 00:10:00","EST","N.Y.C.",61761,4871.9
"01/13/2013 00:10:00","EST","NORTH",61755,726.5
"01/13/2013 00:10:00","EST","WEST",61752,1525.3
"01/13/2013 00:15:00","EST","CAPITL",61757,1112.5
"01/13/2013 00:15:00","EST","CENTRL",61754,1566.1
"01/13/2013 00:15:00","EST","DUNWOD",61760,582.6
"01/13/2013 00:15:00","EST","GENESE",61753,883.8
"01/13/2013 00:15:00","EST","HUD VL",61758,919.1
"01/13/2013 00:15:00","EST","LONGIL",61762,1982
"01/13/2013 00:15:00","EST","MHK VL",61756,808.8
"01/13/2013 00:15:00","EST","MILLWD",61759,263.9
"01/13/2013 00:15:00","EST","N.Y.C.",61761,4872.5
"01/13/2013 00:15:00","EST","NORTH",61755,762.1
"01/13/2013 00:15:00","EST","WEST",61752,1488.8
"01/13/2013 00:20:00","EST","CAPITL",61757,1116.4
"01/13/2013 00:20:00","EST","CENTRL",61754,1536.9
"01/13/2013 00:20:00","EST","DUNWOD",61760,578.6
"01/13/2013 00:20:00","EST","GENESE",61753,871.7
"01/13/2013 00:20:00","EST","HUD VL",61758,920.1
"01/13/2013 00:20:00","EST","LONGIL",61762,1954.6
"01/13/2013 00:20:00","EST","MHK VL",61756,813
"01/13/2013 00:20:00","EST","MILLWD",61759,289.8
"01/13/2013 00:20:00","EST","N.Y.C.",61761,4817.1
"01/13/2013 00:20:00","EST","NORTH",61755,745.7
"01/13/2013 00:20:00","EST","WEST",61752,1498.5
"01/13/2013 00:25:00","EST","CAPITL",61757,1124.5
"01/13/2013 00:25:00","EST","CENTRL",61754,1578.8
"01/13/2013 00:25:00","EST","DUNWOD",61760,567.1
"01/13/2013 00:25:00","EST","GENESE",61753,866.1
"01/13/2013 00:25:00","EST","HUD VL",61758,914.6
"01/13/2013 00:25:00","EST","LONGIL",61762,1938.3
"01/13/2013 00:25:00","EST","MHK VL",61756,787.6
"01/13/2013 00:25:00","EST","MILLWD",61759,287.8
"01/13/2013 00:25:00","EST","N.Y.C.",61761,4788
"01/13/2013 00:25:00","EST","NORTH",61755,760.7
"01/13/2013 00:25:00","EST","WEST",61752,1528.5
"01/13/2013 00:30:00","EST","CAPITL",61757,1105.3
"01/13/2013 00:30:00","EST","CENTRL",61754,1558.5
"01/13/2013 00:30:00","EST","DUNWOD",61760,568.9
"01/13/2013 00:30:00","EST","GENESE",61753,860.6
"01/13/2013 00:30:00","EST","HUD VL",61758,897.6
"01/13/2013 00:30:00","EST","LONGIL",61762,1924.9
"01/13/2013 00:30:00","EST","MHK VL",61756,791.3
"01/13/2013 00:30:00","EST","MILLWD",61759,288.6
"01/13/2013 00:30:00","EST","N.Y.C.",61761,4784.1
"01/13/2013 00:30:00","EST","NORTH",61755,748
"01/13/2013 00:30:00","EST","WEST",61752,1487.5
"01/13/2013 00:35:00","EST","CAPITL",61757,1098.6
"01/13/2013 00:35:00","EST","CENTRL",61754,1551.2
"01/13/2013 00:35:00","EST","DUNWOD",61760,558.7
"01/13/2013 00:35:00","EST","GENESE",61753,861.1
"01/13/2013 00:35:00","EST","HUD VL",61758,907.1
"01/13/2013 00:35:00","EST","LONGIL",61762,1916.6
"01/13/2013 00:35:00","EST","MHK VL",61756,779.4
"01/13/2013 00:35:00","EST","MILLWD",61759,282
"01/13/2013 00:35:00","EST","N.Y.C.",61761,4757.4
"01/13/2013 00:35:00","EST","NORTH",61755,753.1
"01/13/2013 00:35:00","EST","WEST",61752,1462.8
"01/13/2013 00:40:00","EST","CAPITL",61757,1098.7
"01/13/2013 00:40:00","EST","CENTRL",61754,1486.9
"01/13/2013 00:40:00","EST","DUNWOD",61760,555.6
"01/13/2013 00:40:00","EST","GENESE",61753,854
"01/13/2013 00:40:00","EST","HUD VL",61758,889.9
"01/13/2013 00:40:00","EST","LONGIL",61762,1896.8
"01/13/2013 00:40:00","EST","MHK VL",61756,786
"01/13/2013 00:40:00","EST","MILLWD",61759,288.9
"01/13/2013 00:40:00","EST","N.Y.C.",61761,4724.8
"01/13/2013 00:40:00","EST","NORTH",61755,743.5
"01/13/2013 00:40:00","EST","WEST",61752,1464
"01/13/2013 00:45:00","EST","CAPITL",61757,1092.3
"01/13/2013 00:45:00","EST","CENTRL",61754,1482
"01/13/2013 00:45:00","EST","DUNWOD",61760,553
"01/13/2013 00:45:00","EST","GENESE",61753,851.4
"01/13/2013 00:45:00","EST","HUD VL",61758,885.5
"01/13/2013 00:45:00","EST","LONGIL",61762,1889.5
"01/13/2013 00:45:00","EST","MHK VL",61756,784.5
"01/13/2013 00:45:00","EST","MILLWD",61759,274
"01/13/2013 00:45:00","EST","N.Y.C.",61761,4710.1
"01/13/2013 00:45:00","EST","NORTH",61755,751.6
"01/13/2013 00:45:00","EST","WEST",61752,1473.5
"01/13/2013 00:50:00","EST","CAPITL",61757,1091.2
"01/13/2013 00:50:00","EST","CENTRL",61754,1512.9
"01/13/2013 00:50:00","EST","DUNWOD",61760,549
"01/13/2013 00:50:00","EST","GENESE",61753,846.9
"01/13/2013 00:50:00","EST","HUD VL",61758,899.4
"01/13/2013 00:50:00","EST","LONGIL",61762,1877.9
"01/13/2013 00:50:00","EST","MHK VL",61756,773
"01/13/2013 00:50:00","EST","MILLWD",61759,290.8
"01/13/2013 00:50:00","EST","N.Y.C.",61761,4669.5
"01/13/2013 00:50:00","EST","NORTH",61755,747
"01/13/2013 00:50:00","EST","WEST",61752,1458.9
"01/13/2013 00:55:00","EST","CAPITL",61757,1088.4
"01/13/2013 00:55:00","EST","CENTRL",61754,1515.1
"01/13/2013 00:55:00","EST","DUNWOD",61760,547.5
"01/13/2013 00:55:00","EST","GENESE",61753,841.3
"01/13/2013 00:55:00","EST","HUD VL",61758,874.6
"01/13/2013 00:55:00","EST","LONGIL",61762,1867.7
"01/13/2013 00:55:00","EST","MHK VL",61756,777.4
"01/13/2013 00:55:00","EST","MILLWD",61759,289
"01/13/2013 00:55:00","EST","N.Y.C.",61761,4650
"01/13/2013 00:55:00","EST","NORTH",61755,744.8
"01/13/2013 00:55:00","EST","WEST",61752,1449.2
"01/13/2013 01:00:00","EST","CAPITL",61757,1089.2
"01/13/2013 01:00:00","EST","CENTRL",61754,1510.4
"01/13/2013 01:00:00","EST","DUNWOD",61760,552.3
"01/13/2013 01:00:00","EST","GENESE",61753,838.7
"01/13/2013 01:00:00","EST","HUD VL",61758,887.1
"01/13/2013 01:00:00","EST","LONGIL",61762,1854.1
"01/13/2013 01:00:00","EST","MHK VL",61756,776.4
"01/13/2013 01:00:00","EST","MILLWD",61759,281
"01/13/2013 01:00:00","EST","N.Y.C.",61761,4630.6
"01/13/2013 01:00:00","EST","NORTH",61755,726
"01/13/2013 01:00:00","EST","WEST",61752,1451.3
"01/13/2013 01:05:00","EST","CAPITL",61757,1081.6
"01/13/2013 01:05:00","EST","CENTRL",61754,1481.2
"01/13/2013 01:05:00","EST","DUNWOD",61760,537.1
"01/13/2013 01:05:00","EST","GENESE",61753,836.5
"01/13/2013 01:05:00","EST","HUD VL",61758,879.2
"01/13/2013 01:05:00","EST","LONGIL",61762,1838.6
"01/13/2013 01:05:00","EST","MHK VL",61756,765.2
"01/13/2013 01:05:00","EST","MILLWD",61759,282
"01/13/2013 01:05:00","EST","N.Y.C.",61761,4605.1
"01/13/2013 01:05:00","EST","NORTH",61755,733
"01/13/2013 01:05:00","EST","WEST",61752,1473.9
"01/13/2013 01:10:00","EST","CAPITL",61757,1073.2
"01/13/2013 01:10:00","EST","CENTRL",61754,1479.9
"01/13/2013 01:10:00","EST","DUNWOD",61760,516.1
"01/13/2013 01:10:00","EST","GENESE",61753,836.3
"01/13/2013 01:10:00","EST","HUD VL",61758,879.4
"01/13/2013 01:10:00","EST","LONGIL",61762,1841.1
"01/13/2013 01:10:00","EST","MHK VL",61756,774.4
"01/13/2013 01:10:00","EST","MILLWD",61759,265.6
"01/13/2013 01:10:00","EST","N.Y.C.",61761,4598.4
"01/13/2013 01:10:00","EST","NORTH",61755,721.7
"01/13/2013 01:10:00","EST","WEST",61752,1436.3
"01/13/2013 01:15:00","EST","CAPITL",61757,1072.7
"01/13/2013 01:15:00","EST","CENTRL",61754,1512.2
"01/13/2013 01:15:00","EST","DUNWOD",61760,528.5
"01/13/2013 01:15:00","EST","GENESE",61753,834.6
"01/13/2013 01:15:00","EST","HUD VL",61758,876.8
"01/13/2013 01:15:00","EST","LONGIL",61762,1826.9
"01/13/2013 01:15:00","EST","MHK VL",61756,758.1
"01/13/2013 01:15:00","EST","MILLWD",61759,272.7
"01/13/2013 01:15:00","EST","N.Y.C.",61761,4567.4
"01/13/2013 01:15:00","EST","NORTH",61755,728
"01/13/2013 01:15:00","EST","WEST",61752,1445.9
"01/13/2013 01:20:00","EST","CAPITL",61757,1060.8
"01/13/2013 01:20:00","EST","CENTRL",61754,1522.3
"01/13/2013 01:20:00","EST","DUNWOD",61760,528.1
"01/13/2013 01:20:00","EST","GENESE",61753,826.9
"01/13/2013 01:20:00","EST","HUD VL",61758,886.7
"01/13/2013 01:20:00","EST","LONGIL",61762,1818.5
"01/13/2013 01:20:00","EST","MHK VL",61756,748.9
"01/13/2013 01:20:00","EST","MILLWD",61759,283.6
"01/13/2013 01:20:00","EST","N.Y.C.",61761,4528.4
"01/13/2013 01:20:00","EST","NORTH",61755,737.2
"01/13/2013 01:20:00","EST","WEST",61752,1447.5
"01/13/2013 01:25:00","EST","CAPITL",61757,1062.5
"01/13/2013 01:25:00","EST","CENTRL",61754,1517.7
"01/13/2013 01:25:00","EST","DUNWOD",61760,529.6
"01/13/2013 01:25:00","EST","GENESE",61753,822
"01/13/2013 01:25:00","EST","HUD VL",61758,866.1
"01/13/2013 01:25:00","EST","LONGIL",61762,1809.8
"01/13/2013 01:25:00","EST","MHK VL",61756,747.5
"01/13/2013 01:25:00","EST","MILLWD",61759,280.4
"01/13/2013 01:25:00","EST","N.Y.C.",61761,4520.8
"01/13/2013 01:25:00","EST","NORTH",61755,722.3
"01/13/2013 01:25:00","EST","WEST",61752,1445.2
"01/13/2013 01:30:00","EST","CAPITL",61757,1059.8
"01/13/2013 01:30:00","EST","CENTRL",61754,1523.4
