"Time Stamp","Time Zone","Name","PTID","Load"
"03/16/2013 00:00:00","EDT","CAPITL",61757,1182.4
"03/16/2013 00:00:00","EDT","CENTRL",61754,1761.1
"03/16/2013 00:00:00","EDT","DUNWOD",61760,621
"03/16/2013 00:00:00","EDT","GENESE",61753,1007.7
"03/16/2013 00:00:00","EDT","HUD VL",61758,964.8
"03/16/2013 00:00:00","EDT","LONGIL",61762,2125.1
"03/16/2013 00:00:00","EDT","MHK VL",61756,870.2
"03/16/2013 00:00:00","EDT","MILLWD",61759,312.2
"03/16/2013 00:00:00","EDT","N.Y.C.",61761,5059.5
"03/16/2013 00:00:00","EDT","NORTH",61755,815.9
"03/16/2013 00:00:00","EDT","WEST",61752,1650.8
"03/16/2013 00:05:00","EDT","CAPITL",61757,1174.1
"03/16/2013 00:05:00","EDT","CENTRL",61754,1752.7
"03/16/2013 00:05:00","EDT","DUNWOD",61760,621.4
"03/16/2013 00:05:00","EDT","GENESE",61753,1004.4
"03/16/2013 00:05:00","EDT","HUD VL",61758,955.6
"03/16/2013 00:05:00","EDT","LONGIL",61762,2113.2
"03/16/2013 00:05:00","EDT","MHK VL",61756,875.6
"03/16/2013 00:05:00","EDT","MILLWD",61759,296.1
"03/16/2013 00:05:00","EDT","N.Y.C.",61761,5059.4
"03/16/2013 00:05:00","EDT","NORTH",61755,800.7
"03/16/2013 00:05:00","EDT","WEST",61752,1662.7
"03/16/2013 00:10:00","EDT","CAPITL",61757,1181.9
"03/16/2013 00:10:00","EDT","CENTRL",61754,1735.6
"03/16/2013 00:10:00","EDT","DUNWOD",61760,611
"03/16/2013 00:10:00","EDT","GENESE",61753,996.7
"03/16/2013 00:10:00","EDT","HUD VL",61758,938.2
"03/16/2013 00:10:00","EDT","LONGIL",61762,2072
"03/16/2013 00:10:00","EDT","MHK VL",61756,873.5
"03/16/2013 00:10:00","EDT","MILLWD",61759,302.3
"03/16/2013 00:10:00","EDT","N.Y.C.",61761,5016.2
"03/16/2013 00:10:00","EDT","NORTH",61755,785.4
"03/16/2013 00:10:00","EDT","WEST",61752,1651.5
"03/16/2013 00:15:00","EDT","CAPITL",61757,1173.2
"03/16/2013 00:15:00","EDT","CENTRL",61754,1739.1
"03/16/2013 00:15:00","EDT","DUNWOD",61760,608.5
"03/16/2013 00:15:00","EDT","GENESE",61753,991.5
"03/16/2013 00:15:00","EDT","HUD VL",61758,952.4
"03/16/2013 00:15:00","EDT","LONGIL",61762,2057.9
"03/16/2013 00:15:00","EDT","MHK VL",61756,876.5
