"Time Stamp","Time Zone","Name","PTID","Load"
"07/09/2013 00:00:00","EDT","CAPITL",61757,1490.6
"07/09/2013 00:00:00","EDT","CENTRL",61754,1934.1
"07/09/2013 00:00:00","EDT","DUNWOD",61760,968
"07/09/2013 00:00:00","EDT","GENESE",61753,1227
"07/09/2013 00:00:00","EDT","HUD VL",61758,1378.9
"07/09/2013 00:00:00","EDT","LONGIL",61762,3283.2
"07/09/2013 00:00:00","EDT","MHK VL",61756,918.6
"07/09/2013 00:00:00","EDT","MILLWD",61759,393.2
"07/09/2013 00:00:00","EDT","N.Y.C.",61761,8049
"07/09/2013 00:00:00","EDT","NORTH",61755,707.4
"07/09/2013 00:00:00","EDT","WEST",61752,1884.4
"07/09/2013 00:05:00","EDT","CAPITL",61757,1481.2
"07/09/2013 00:05:00","EDT","CENTRL",61754,1914.8
"07/09/2013 00:05:00","EDT","DUNWOD",61760,969.1
"07/09/2013 00:05:00","EDT","GENESE",61753,1218.7
"07/09/2013 00:05:00","EDT","HUD VL",61758,1383.3
"07/09/2013 00:05:00","EDT","LONGIL",61762,3256
"07/09/2013 00:05:00","EDT","MHK VL",61756,932.8
"07/09/2013 00:05:00","EDT","MILLWD",61759,383.8
"07/09/2013 00:05:00","EDT","N.Y.C.",61761,7990.8
"07/09/2013 00:05:00","EDT","NORTH",61755,706.1
"07/09/2013 00:05:00","EDT","WEST",61752,1859.1
"07/09/2013 00:10:00","EDT","CAPITL",61757,1472.8
"07/09/2013 00:10:00","EDT","CENTRL",61754,1896.6
"07/09/2013 00:10:00","EDT","DUNWOD",61760,954
"07/09/2013 00:10:00","EDT","GENESE",61753,1210.7
"07/09/2013 00:10:00","EDT","HUD VL",61758,1358.1
"07/09/2013 00:10:00","EDT","LONGIL",61762,3219.5
"07/09/2013 00:10:00","EDT","MHK VL",61756,934.5
"07/09/2013 00:10:00","EDT","MILLWD",61759,385
"07/09/2013 00:10:00","EDT","N.Y.C.",61761,7935.4
"07/09/2013 00:10:00","EDT","NORTH",61755,700
"07/09/2013 00:10:00","EDT","WEST",61752,1862
"07/09/2013 00:15:00","EDT","CAPITL",61757,1464.4
"07/09/2013 00:15:00","EDT","CENTRL",61754,1906.1
"07/09/2013 00:15:00","EDT","DUNWOD",61760,977.5
"07/09/2013 00:15:00","EDT","GENESE",61753,1194.3
"07/09/2013 00:15:00","EDT","HUD VL",61758,1347.6
"07/09/2013 00:15:00","EDT","LONGIL",61762,3150.5
"07/09/2013 00:15:00","EDT","MHK VL",61756,941.1
"07/09/2013 00:15:00","EDT","MILLWD",61759,383.7
"07/09/2013 00:15:00","EDT","N.Y.C.",61761,7895.3
"07/09/2013 00:15:00","EDT","NORTH",61755,710.1
"07/09/2013 00:15:00","EDT","WEST",61752,1834.5
"07/09/2013 00:20:00","EDT","CAPITL",61757,1448.1
"07/09/2013 00:20:00","EDT","CENTRL",61754,1856.5
"07/09/2013 00:20:00","EDT","DUNWOD",61760,918.9
"07/09/2013 00:20:00","EDT","GENESE",61753,1191.8
"07/09/2013 00:20:00","EDT","HUD VL",61758,1328.4
"07/09/2013 00:20:00","EDT","LONGIL",61762,3150.6
"07/09/2013 00:20:00","EDT","MHK VL",61756,942.6
"07/09/2013 00:20:00","EDT","MILLWD",61759,398.8
"07/09/2013 00:20:00","EDT","N.Y.C.",61761,7824.9
"07/09/2013 00:20:00","EDT","NORTH",61755,697.5
"07/09/2013 00:20:00","EDT","WEST",61752,1821.7
"07/09/2013 00:25:00","EDT","CAPITL",61757,1446.6
"07/09/2013 00:25:00","EDT","CENTRL",61754,1870.9
"07/09/2013 00:25:00","EDT","DUNWOD",61760,930.9
"07/09/2013 00:25:00","EDT","GENESE",61753,1189.8
"07/09/2013 00:25:00","EDT","HUD VL",61758,1368.2
"07/09/2013 00:25:00","EDT","LONGIL",61762,3145.3
"07/09/2013 00:25:00","EDT","MHK VL",61756,920.5
"07/09/2013 00:25:00","EDT","MILLWD",61759,402.7
"07/09/2013 00:25:00","EDT","N.Y.C.",61761,7796.2
"07/09/2013 00:25:00","EDT","NORTH",61755,716.3
"07/09/2013 00:25:00","EDT","WEST",61752,1860.9
"07/09/2013 00:30:00","EDT","CAPITL",61757,1438.8
"07/09/2013 00:30:00","EDT","CENTRL",61754,1884.5
"07/09/2013 00:30:00","EDT","DUNWOD",61760,918.7
"07/09/2013 00:30:00","EDT","GENESE",61753,1177.6
"07/09/2013 00:30:00","EDT","HUD VL",61758,1321.4
"07/09/2013 00:30:00","EDT","LONGIL",61762,3109.8
"07/09/2013 00:30:00","EDT","MHK VL",61756,930
"07/09/2013 00:30:00","EDT","MILLWD",61759,392.9
"07/09/2013 00:30:00","EDT","N.Y.C.",61761,7740.9
"07/09/2013 00:30:00","EDT","NORTH",61755,707.2
"07/09/2013 00:30:00","EDT","WEST",61752,1812.3
"07/09/2013 00:35:00","EDT","CAPITL",61757,1424.8
"07/09/2013 00:35:00","EDT","CENTRL",61754,1877.7
"07/09/2013 00:35:00","EDT","DUNWOD",61760,921.8
"07/09/2013 00:35:00","EDT","GENESE",61753,1176.4
"07/09/2013 00:35:00","EDT","HUD VL",61758,1311.9
"07/09/2013 00:35:00","EDT","LONGIL",61762,3100.3
"07/09/2013 00:35:00","EDT","MHK VL",61756,935.1
"07/09/2013 00:35:00","EDT","MILLWD",61759,373.7
"07/09/2013 00:35:00","EDT","N.Y.C.",61761,7716.1
"07/09/2013 00:35:00","EDT","NORTH",61755,694.8
"07/09/2013 00:35:00","EDT","WEST",61752,1821.7
"07/09/2013 00:40:00","EDT","CAPITL",61757,1420.7
"07/09/2013 00:40:00","EDT","CENTRL",61754,1852
"07/09/2013 00:40:00","EDT","DUNWOD",61760,900.8
"07/09/2013 00:40:00","EDT","GENESE",61753,1164.4
"07/09/2013 00:40:00","EDT","HUD VL",61758,1272.8
"07/09/2013 00:40:00","EDT","LONGIL",61762,3066.4
"07/09/2013 00:40:00","EDT","MHK VL",61756,924.7
"07/09/2013 00:40:00","EDT","MILLWD",61759,393.9
"07/09/2013 00:40:00","EDT","N.Y.C.",61761,7669.5
"07/09/2013 00:40:00","EDT","NORTH",61755,702.4
"07/09/2013 00:40:00","EDT","WEST",61752,1809.3
"07/09/2013 00:45:00","EDT","CAPITL",61757,1404.9
"07/09/2013 00:45:00","EDT","CENTRL",61754,1834.2
"07/09/2013 00:45:00","EDT","DUNWOD",61760,894.9
"07/09/2013 00:45:00","EDT","GENESE",61753,1166.4
"07/09/2013 00:45:00","EDT","HUD VL",61758,1296.1
"07/09/2013 00:45:00","EDT","LONGIL",61762,3034.5
"07/09/2013 00:45:00","EDT","MHK VL",61756,934.1
"07/09/2013 00:45:00","EDT","MILLWD",61759,368.1
"07/09/2013 00:45:00","EDT","N.Y.C.",61761,7623.9
"07/09/2013 00:45:00","EDT","NORTH",61755,698
"07/09/2013 00:45:00","EDT","WEST",61752,1797.2
"07/09/2013 00:50:00","EDT","CAPITL",61757,1405.2
"07/09/2013 00:50:00","EDT","CENTRL",61754,1835.7
"07/09/2013 00:50:00","EDT","DUNWOD",61760,892.6
"07/09/2013 00:50:00","EDT","GENESE",61753,1158.3
"07/09/2013 00:50:00","EDT","HUD VL",61758,1274.5
"07/09/2013 00:50:00","EDT","LONGIL",61762,3023.4
"07/09/2013 00:50:00","EDT","MHK VL",61756,933.1
"07/09/2013 00:50:00","EDT","MILLWD",61759,382.1
"07/09/2013 00:50:00","EDT","N.Y.C.",61761,7589.9
"07/09/2013 00:50:00","EDT","NORTH",61755,694
"07/09/2013 00:50:00","EDT","WEST",61752,1786.8
"07/09/2013 00:55:00","EDT","CAPITL",61757,1403.1
"07/09/2013 00:55:00","EDT","CENTRL",61754,1853
"07/09/2013 00:55:00","EDT","DUNWOD",61760,888
"07/09/2013 00:55:00","EDT","GENESE",61753,1149.8
"07/09/2013 00:55:00","EDT","HUD VL",61758,1286.7
"07/09/2013 00:55:00","EDT","LONGIL",61762,2990.5
"07/09/2013 00:55:00","EDT","MHK VL",61756,919.5
"07/09/2013 00:55:00","EDT","MILLWD",61759,383.6
"07/09/2013 00:55:00","EDT","N.Y.C.",61761,7556.7
"07/09/2013 00:55:00","EDT","NORTH",61755,693.2
"07/09/2013 00:55:00","EDT","WEST",61752,1777.8
"07/09/2013 01:00:00","EDT","CAPITL",61757,1428.7
"07/09/2013 01:00:00","EDT","CENTRL",61754,1842.8
"07/09/2013 01:00:00","EDT","DUNWOD",61760,879.3
"07/09/2013 01:00:00","EDT","GENESE",61753,1149.9
"07/09/2013 01:00:00","EDT","HUD VL",61758,1250.6
"07/09/2013 01:00:00","EDT","LONGIL",61762,2989.2
"07/09/2013 01:00:00","EDT","MHK VL",61756,917.5
"07/09/2013 01:00:00","EDT","MILLWD",61759,397.7
"07/09/2013 01:00:00","EDT","N.Y.C.",61761,7532.7
"07/09/2013 01:00:00","EDT","NORTH",61755,695
"07/09/2013 01:00:00","EDT","WEST",61752,1770
"07/09/2013 01:05:00","EDT","CAPITL",61757,1421.5
"07/09/2013 01:05:00","EDT","CENTRL",61754,1867.5
"07/09/2013 01:05:00","EDT","DUNWOD",61760,881.5
"07/09/2013 01:05:00","EDT","GENESE",61753,1139.1
"07/09/2013 01:05:00","EDT","HUD VL",61758,1291.2
"07/09/2013 01:05:00","EDT","LONGIL",61762,2959.4
"07/09/2013 01:05:00","EDT","MHK VL",61756,892
"07/09/2013 01:05:00","EDT","MILLWD",61759,359.4
"07/09/2013 01:05:00","EDT","N.Y.C.",61761,7469.6
"07/09/2013 01:05:00","EDT","NORTH",61755,700
"07/09/2013 01:05:00","EDT","WEST",61752,1766.1
"07/09/2013 01:10:00","EDT","CAPITL",61757,1384.6
"07/09/2013 01:10:00","EDT","CENTRL",61754,1827.7
"07/09/2013 01:10:00","EDT","DUNWOD",61760,888.5
"07/09/2013 01:10:00","EDT","GENESE",61753,1150.2
"07/09/2013 01:10:00","EDT","HUD VL",61758,1235.5
"07/09/2013 01:10:00","EDT","LONGIL",61762,2949.9
"07/09/2013 01:10:00","EDT","MHK VL",61756,907.5
"07/09/2013 01:10:00","EDT","MILLWD",61759,368.2
"07/09/2013 01:10:00","EDT","N.Y.C.",61761,7443.2
"07/09/2013 01:10:00","EDT","NORTH",61755,697.9
"07/09/2013 01:10:00","EDT","WEST",61752,1780.5
"07/09/2013 01:15:00","EDT","CAPITL",61757,1382.3
"07/09/2013 01:15:00","EDT","CENTRL",61754,1781.1
"07/09/2013 01:15:00","EDT","DUNWOD",61760,858.5
"07/09/2013 01:15:00","EDT","GENESE",61753,1136.8
"07/09/2013 01:15:00","EDT","HUD VL",61758,1237.6
"07/09/2013 01:15:00","EDT","LONGIL",61762,2911.3
"07/09/2013 01:15:00","EDT","MHK VL",61756,902.1
"07/09/2013 01:15:00","EDT","MILLWD",61759,366
"07/09/2013 01:15:00","EDT","N.Y.C.",61761,7438.5
"07/09/2013 01:15:00","EDT","NORTH",61755,693.3
"07/09/2013 01:15:00","EDT","WEST",61752,1737.6
"07/09/2013 01:20:00","EDT","CAPITL",61757,1362.5
"07/09/2013 01:20:00","EDT","CENTRL",61754,1767.2
"07/09/2013 01:20:00","EDT","DUNWOD",61760,878.8
"07/09/2013 01:20:00","EDT","GENESE",61753,1132.3
"07/09/2013 01:20:00","EDT","HUD VL",61758,1235.1
"07/09/2013 01:20:00","EDT","LONGIL",61762,2882.9
"07/09/2013 01:20:00","EDT","MHK VL",61756,893.2
"07/09/2013 01:20:00","EDT","MILLWD",61759,361.9
"07/09/2013 01:20:00","EDT","N.Y.C.",61761,7368.2
"07/09/2013 01:20:00","EDT","NORTH",61755,690.3
"07/09/2013 01:20:00","EDT","WEST",61752,1743.3
"07/09/2013 01:25:00","EDT","CAPITL",61757,1345.1
"07/09/2013 01:25:00","EDT","CENTRL",61754,1811.2
"07/09/2013 01:25:00","EDT","DUNWOD",61760,861.4
"07/09/2013 01:25:00","EDT","GENESE",61753,1133
"07/09/2013 01:25:00","EDT","HUD VL",61758,1224.2
"07/09/2013 01:25:00","EDT","LONGIL",61762,2856.5
"07/09/2013 01:25:00","EDT","MHK VL",61756,893.3
"07/09/2013 01:25:00","EDT","MILLWD",61759,371.2
"07/09/2013 01:25:00","EDT","N.Y.C.",61761,7353.3
"07/09/2013 01:25:00","EDT","NORTH",61755,684.3
"07/09/2013 01:25:00","EDT","WEST",61752,1733.3
"07/09/2013 01:30:00","EDT","CAPITL",61757,1359.2
"07/09/2013 01:30:00","EDT","CENTRL",61754,1817.1
"07/09/2013 01:30:00","EDT","DUNWOD",61760,852.8
"07/09/2013 01:30:00","EDT","GENESE",61753,1124
"07/09/2013 01:30:00","EDT","HUD VL",61758,1212.3
"07/09/2013 01:30:00","EDT","LONGIL",61762,2850.6
"07/09/2013 01:30:00","EDT","MHK VL",61756,881
"07/09/2013 01:30:00","EDT","MILLWD",61759,356
"07/09/2013 01:30:00","EDT","N.Y.C.",61761,7318.5
"07/09/2013 01:30:00","EDT","NORTH",61755,695.2
"07/09/2013 01:30:00","EDT","WEST",61752,1741.3
"07/09/2013 01:35:00","EDT","CAPITL",61757,1367.1
"07/09/2013 01:35:00","EDT","CENTRL",61754,1782.6
"07/09/2013 01:35:00","EDT","DUNWOD",61760,834.5
"07/09/2013 01:35:00","EDT","GENESE",61753,1125.2
"07/09/2013 01:35:00","EDT","HUD VL",61758,1195.5
"07/09/2013 01:35:00","EDT","LONGIL",61762,2843.9
"07/09/2013 01:35:00","EDT","MHK VL",61756,887.9
"07/09/2013 01:35:00","EDT","MILLWD",61759,360.5
"07/09/2013 01:35:00","EDT","N.Y.C.",61761,7282.2
"07/09/2013 01:35:00","EDT","NORTH",61755,693
"07/09/2013 01:35:00","EDT","WEST",61752,1734.2
"07/09/2013 01:40:00","EDT","CAPITL",61757,1346.2
"07/09/2013 01:40:00","EDT","CENTRL",61754,1758.6
"07/09/2013 01:40:00","EDT","DUNWOD",61760,849.2
"07/09/2013 01:40:00","EDT","GENESE",61753,1118
"07/09/2013 01:40:00","EDT","HUD VL",61758,1184
"07/09/2013 01:40:00","EDT","LONGIL",61762,2815.2
"07/09/2013 01:40:00","EDT","MHK VL",61756,881.2
"07/09/2013 01:40:00","EDT","MILLWD",61759,363.1
"07/09/2013 01:40:00","EDT","N.Y.C.",61761,7250.4
"07/09/2013 01:40:00","EDT","NORTH",61755,699.5
"07/09/2013 01:40:00","EDT","WEST",61752,1720.9
"07/09/2013 01:45:00","EDT","CAPITL",61757,1362.4
"07/09/2013 01:45:00","EDT","CENTRL",61754,1773.2
"07/09/2013 01:45:00","EDT","DUNWOD",61760,841.1
"07/09/2013 01:45:00","EDT","GENESE",61753,1114
"07/09/2013 01:45:00","EDT","HUD VL",61758,1194.6
"07/09/2013 01:45:00","EDT","LONGIL",61762,2809.9
"07/09/2013 01:45:00","EDT","MHK VL",61756,880
"07/09/2013 01:45:00","EDT","MILLWD",61759,354.1
"07/09/2013 01:45:00","EDT","N.Y.C.",61761,7250.3
"07/09/2013 01:45:00","EDT","NORTH",61755,692.4
"07/09/2013 01:45:00","EDT","WEST",61752,1704.4
"07/09/2013 01:50:00","EDT","CAPITL",61757,1332.3
"07/09/2013 01:50:00","EDT","CENTRL",61754,1729.5
"07/09/2013 01:50:00","EDT","DUNWOD",61760,857.1
"07/09/2013 01:50:00","EDT","GENESE",61753,1110.8
"07/09/2013 01:50:00","EDT","HUD VL",61758,1174.6
"07/09/2013 01:50:00","EDT","LONGIL",61762,2783.6
"07/09/2013 01:50:00","EDT","MHK VL",61756,889
"07/09/2013 01:50:00","EDT","MILLWD",61759,350.3
"07/09/2013 01:50:00","EDT","N.Y.C.",61761,7212.5
"07/09/2013 01:50:00","EDT","NORTH",61755,683.6
"07/09/2013 01:50:00","EDT","WEST",61752,1717.6
"07/09/2013 01:55:00","EDT","CAPITL",61757,1334.7
"07/09/2013 01:55:00","EDT","CENTRL",61754,1789.6
"07/09/2013 01:55:00","EDT","DUNWOD",61760,844.1
"07/09/2013 01:55:00","EDT","GENESE",61753,1104.1
"07/09/2013 01:55:00","EDT","HUD VL",61758,1191.5
"07/09/2013 01:55:00","EDT","LONGIL",61762,2771.9
"07/09/2013 01:55:00","EDT","MHK VL",61756,875.1
"07/09/2013 01:55:00","EDT","MILLWD",61759,329.5
"07/09/2013 01:55:00","EDT","N.Y.C.",61761,7191.1
"07/09/2013 01:55:00","EDT","NORTH",61755,694.7
"07/09/2013 01:55:00","EDT","WEST",61752,1709.4
"07/09/2013 02:00:00","EDT","CAPITL",61757,1352.1
"07/09/2013 02:00:00","EDT","CENTRL",61754,1773.8
"07/09/2013 02:00:00","EDT","DUNWOD",61760,825.1
"07/09/2013 02:00:00","EDT","GENESE",61753,1104.6
"07/09/2013 02:00:00","EDT","HUD VL",61758,1177.2
"07/09/2013 02:00:00","EDT","LONGIL",61762,2754.3
"07/09/2013 02:00:00","EDT","MHK VL",61756,872.2
"07/09/2013 02:00:00","EDT","MILLWD",61759,357.8
