"Time Stamp","Time Zone","Name","PTID","Load"
"03/07/2013 00:00:00","EST","CAPITL",61757,1197.5
"03/07/2013 00:00:00","EST","CENTRL",61754,1726.5
"03/07/2013 00:00:00","EST","DUNWOD",61760,596.5
"03/07/2013 00:00:00","EST","GENESE",61753,1011.5
"03/07/2013 00:00:00","EST","HUD VL",61758,965.5
"03/07/2013 00:00:00","EST","LONGIL",61762,2159.7
"03/07/2013 00:00:00","EST","MHK VL",61756,894.7
"03/07/2013 00:00:00","EST","MILLWD",61759,279.1
"03/07/2013 00:00:00","EST","N.Y.C.",61761,5154.9
"03/07/2013 00:00:00","EST","NORTH",61755,768.8
"03/07/2013 00:00:00","EST","WEST",61752,1682.4
"03/07/2013 00:05:00","EST","CAPITL",61757,1199.4
"03/07/2013 00:05:00","EST","CENTRL",61754,1712.6
"03/07/2013 00:05:00","EST","DUNWOD",61760,587.5
"03/07/2013 00:05:00","EST","GENESE",61753,1005.9
"03/07/2013 00:05:00","EST","HUD VL",61758,950
"03/07/2013 00:05:00","EST","LONGIL",61762,2140.6
"03/07/2013 00:05:00","EST","MHK VL",61756,899.5
"03/07/2013 00:05:00","EST","MILLWD",61759,282.2
"03/07/2013 00:05:00","EST","N.Y.C.",61761,5111.5
"03/07/2013 00:05:00","EST","NORTH",61755,766.2
"03/07/2013 00:05:00","EST","WEST",61752,1647.8
"03/07/2013 00:10:00","EST","CAPITL",61757,1182.7
"03/07/2013 00:10:00","EST","CENTRL",61754,1722.8
"03/07/2013 00:10:00","EST","DUNWOD",61760,598.3
"03/07/2013 00:10:00","EST","GENESE",61753,986
"03/07/2013 00:10:00","EST","HUD VL",61758,961.3
"03/07/2013 00:10:00","EST","LONGIL",61762,2110.1
"03/07/2013 00:10:00","EST","MHK VL",61756,890.3
"03/07/2013 00:10:00","EST","MILLWD",61759,246.1
"03/07/2013 00:10:00","EST","N.Y.C.",61761,5096.1
"03/07/2013 00:10:00","EST","NORTH",61755,769
"03/07/2013 00:10:00","EST","WEST",61752,1660.6
"03/07/2013 00:15:00","EST","CAPITL",61757,1178
"03/07/2013 00:15:00","EST","CENTRL",61754,1694.3
"03/07/2013 00:15:00","EST","DUNWOD",61760,579.3
"03/07/2013 00:15:00","EST","GENESE",61753,996
"03/07/2013 00:15:00","EST","HUD VL",61758,942.3
"03/07/2013 00:15:00","EST","LONGIL",61762,2124.9
"03/07/2013 00:15:00","EST","MHK VL",61756,887.2
"03/07/2013 00:15:00","EST","MILLWD",61759,271.1
"03/07/2013 00:15:00","EST","N.Y.C.",61761,5051.8
"03/07/2013 00:15:00","EST","NORTH",61755,766.1
"03/07/2013 00:15:00","EST","WEST",61752,1643.6
"03/07/2013 00:20:00","EST","CAPITL",61757,1167.8
"03/07/2013 00:20:00","EST","CENTRL",61754,1715.5
"03/07/2013 00:20:00","EST","DUNWOD",61760,580.1
"03/07/2013 00:20:00","EST","GENESE",61753,995.3
"03/07/2013 00:20:00","EST","HUD VL",61758,958.4
"03/07/2013 00:20:00","EST","LONGIL",61762,2108.3
"03/07/2013 00:20:00","EST","MHK VL",61756,880.1
"03/07/2013 00:20:00","EST","MILLWD",61759,272.7
"03/07/2013 00:20:00","EST","N.Y.C.",61761,5018.2
"03/07/2013 00:20:00","EST","NORTH",61755,757.7
"03/07/2013 00:20:00","EST","WEST",61752,1722.9
"03/07/2013 00:25:00","EST","CAPITL",61757,1165.3
"03/07/2013 00:25:00","EST","CENTRL",61754,1692.6
"03/07/2013 00:25:00","EST","DUNWOD",61760,576
"03/07/2013 00:25:00","EST","GENESE",61753,1000.2
"03/07/2013 00:25:00","EST","HUD VL",61758,938.9
"03/07/2013 00:25:00","EST","LONGIL",61762,2082.1
"03/07/2013 00:25:00","EST","MHK VL",61756,880.2
"03/07/2013 00:25:00","EST","MILLWD",61759,273.2
"03/07/2013 00:25:00","EST","N.Y.C.",61761,4976.7
"03/07/2013 00:25:00","EST","NORTH",61755,759.8
"03/07/2013 00:25:00","EST","WEST",61752,1663
"03/07/2013 00:30:00","EST","CAPITL",61757,1169.6
"03/07/2013 00:30:00","EST","CENTRL",61754,1683.4
"03/07/2013 00:30:00","EST","DUNWOD",61760,574.1
"03/07/2013 00:30:00","EST","GENESE",61753,982.8
"03/07/2013 00:30:00","EST","HUD VL",61758,917.6
"03/07/2013 00:30:00","EST","LONGIL",61762,2083.6
"03/07/2013 00:30:00","EST","MHK VL",61756,866.9
"03/07/2013 00:30:00","EST","MILLWD",61759,272.3
"03/07/2013 00:30:00","EST","N.Y.C.",61761,4945.3
"03/07/2013 00:30:00","EST","NORTH",61755,754.4
"03/07/2013 00:30:00","EST","WEST",61752,1620.5
"03/07/2013 00:35:00","EST","CAPITL",61757,1164.6
"03/07/2013 00:35:00","EST","CENTRL",61754,1672.2
"03/07/2013 00:35:00","EST","DUNWOD",61760,564.9
"03/07/2013 00:35:00","EST","GENESE",61753,975.6
"03/07/2013 00:35:00","EST","HUD VL",61758,902.1
"03/07/2013 00:35:00","EST","LONGIL",61762,2075
"03/07/2013 00:35:00","EST","MHK VL",61756,878.5
"03/07/2013 00:35:00","EST","MILLWD",61759,282.7
"03/07/2013 00:35:00","EST","N.Y.C.",61761,4936.8
"03/07/2013 00:35:00","EST","NORTH",61755,761.7
"03/07/2013 00:35:00","EST","WEST",61752,1606.3
"03/07/2013 00:40:00","EST","CAPITL",61757,1160.6
"03/07/2013 00:40:00","EST","CENTRL",61754,1682.3
"03/07/2013 00:40:00","EST","DUNWOD",61760,568.6
"03/07/2013 00:40:00","EST","GENESE",61753,972.4
"03/07/2013 00:40:00","EST","HUD VL",61758,915.4
"03/07/2013 00:40:00","EST","LONGIL",61762,2054.5
"03/07/2013 00:40:00","EST","MHK VL",61756,872
"03/07/2013 00:40:00","EST","MILLWD",61759,268.4
"03/07/2013 00:40:00","EST","N.Y.C.",61761,4928.4
"03/07/2013 00:40:00","EST","NORTH",61755,755.4
"03/07/2013 00:40:00","EST","WEST",61752,1625.8
"03/07/2013 00:45:00","EST","CAPITL",61757,1153.6
"03/07/2013 00:45:00","EST","CENTRL",61754,1703.1
"03/07/2013 00:45:00","EST","DUNWOD",61760,561.4
"03/07/2013 00:45:00","EST","GENESE",61753,968.2
"03/07/2013 00:45:00","EST","HUD VL",61758,918.7
"03/07/2013 00:45:00","EST","LONGIL",61762,2047.3
"03/07/2013 00:45:00","EST","MHK VL",61756,869.7
"03/07/2013 00:45:00","EST","MILLWD",61759,274.1
"03/07/2013 00:45:00","EST","N.Y.C.",61761,4889.2
"03/07/2013 00:45:00","EST","NORTH",61755,765.1
"03/07/2013 00:45:00","EST","WEST",61752,1622.7
"03/07/2013 00:50:00","EST","CAPITL",61757,1153.3
"03/07/2013 00:50:00","EST","CENTRL",61754,1677.6
"03/07/2013 00:50:00","EST","DUNWOD",61760,560.8
"03/07/2013 00:50:00","EST","GENESE",61753,973.2
"03/07/2013 00:50:00","EST","HUD VL",61758,885.1
"03/07/2013 00:50:00","EST","LONGIL",61762,2046.6
"03/07/2013 00:50:00","EST","MHK VL",61756,860.5
"03/07/2013 00:50:00","EST","MILLWD",61759,283.4
"03/07/2013 00:50:00","EST","N.Y.C.",61761,4861.8
"03/07/2013 00:50:00","EST","NORTH",61755,764.5
"03/07/2013 00:50:00","EST","WEST",61752,1599.4
"03/07/2013 00:55:00","EST","CAPITL",61757,1142.3
"03/07/2013 00:55:00","EST","CENTRL",61754,1684.2
"03/07/2013 00:55:00","EST","DUNWOD",61760,557.9
"03/07/2013 00:55:00","EST","GENESE",61753,963.8
"03/07/2013 00:55:00","EST","HUD VL",61758,902.1
"03/07/2013 00:55:00","EST","LONGIL",61762,2040.1
"03/07/2013 00:55:00","EST","MHK VL",61756,859.5
"03/07/2013 00:55:00","EST","MILLWD",61759,270
"03/07/2013 00:55:00","EST","N.Y.C.",61761,4860.5
"03/07/2013 00:55:00","EST","NORTH",61755,760
"03/07/2013 00:55:00","EST","WEST",61752,1610.3
"03/07/2013 01:00:00","EST","CAPITL",61757,1140.6
"03/07/2013 01:00:00","EST","CENTRL",61754,1661.4
"03/07/2013 01:00:00","EST","DUNWOD",61760,549.1
"03/07/2013 01:00:00","EST","GENESE",61753,957.4
"03/07/2013 01:00:00","EST","HUD VL",61758,915.7
"03/07/2013 01:00:00","EST","LONGIL",61762,2042.1
"03/07/2013 01:00:00","EST","MHK VL",61756,855.1
"03/07/2013 01:00:00","EST","MILLWD",61759,270
"03/07/2013 01:00:00","EST","N.Y.C.",61761,4847.4
"03/07/2013 01:00:00","EST","NORTH",61755,757.3
"03/07/2013 01:00:00","EST","WEST",61752,1604.3
"03/07/2013 01:05:00","EST","CAPITL",61757,1134.9
"03/07/2013 01:05:00","EST","CENTRL",61754,1656.1
"03/07/2013 01:05:00","EST","DUNWOD",61760,553.3
