"Time Stamp","Time Zone","Name","PTID","Load"
"02/13/2013 00:00:00","EST","CAPITL",61757,1213.3
"02/13/2013 00:00:00","EST","CENTRL",61754,1783.7
"02/13/2013 00:00:00","EST","DUNWOD",61760,606
"02/13/2013 00:00:00","EST","GENESE",61753,1033.2
"02/13/2013 00:00:00","EST","HUD VL",61758,973.9
"02/13/2013 00:00:00","EST","LONGIL",61762,2109.1
"02/13/2013 00:00:00","EST","MHK VL",61756,903.7
"02/13/2013 00:00:00","EST","MILLWD",61759,280.2
"02/13/2013 00:00:00","EST","N.Y.C.",61761,5173.4
"02/13/2013 00:00:00","EST","NORTH",61755,774.3
"02/13/2013 00:00:00","EST","WEST",61752,1680.8
"02/13/2013 00:05:00","EST","CAPITL",61757,1206.1
"02/13/2013 00:05:00","EST","CENTRL",61754,1774.7
"02/13/2013 00:05:00","EST","DUNWOD",61760,603.9
"02/13/2013 00:05:00","EST","GENESE",61753,1021.9
"02/13/2013 00:05:00","EST","HUD VL",61758,927.2
"02/13/2013 00:05:00","EST","LONGIL",61762,2081.4
"02/13/2013 00:05:00","EST","MHK VL",61756,930
"02/13/2013 00:05:00","EST","MILLWD",61759,293.8
"02/13/2013 00:05:00","EST","N.Y.C.",61761,5105.3
"02/13/2013 00:05:00","EST","NORTH",61755,763
"02/13/2013 00:05:00","EST","WEST",61752,1651
"02/13/2013 00:10:00","EST","CAPITL",61757,1190.5
"02/13/2013 00:10:00","EST","CENTRL",61754,1719.9
"02/13/2013 00:10:00","EST","DUNWOD",61760,614.3
"02/13/2013 00:10:00","EST","GENESE",61753,1012.5
"02/13/2013 00:10:00","EST","HUD VL",61758,960.3
"02/13/2013 00:10:00","EST","LONGIL",61762,2062.7
"02/13/2013 00:10:00","EST","MHK VL",61756,934.7
"02/13/2013 00:10:00","EST","MILLWD",61759,286.4
"02/13/2013 00:10:00","EST","N.Y.C.",61761,5064.3
"02/13/2013 00:10:00","EST","NORTH",61755,781.1
"02/13/2013 00:10:00","EST","WEST",61752,1668.6
"02/13/2013 00:15:00","EST","CAPITL",61757,1195.8
"02/13/2013 00:15:00","EST","CENTRL",61754,1760.1
"02/13/2013 00:15:00","EST","DUNWOD",61760,589.3
"02/13/2013 00:15:00","EST","GENESE",61753,1016
"02/13/2013 00:15:00","EST","HUD VL",61758,928.5
"02/13/2013 00:15:00","EST","LONGIL",61762,2051.8
"02/13/2013 00:15:00","EST","MHK VL",61756,930
"02/13/2013 00:15:00","EST","MILLWD",61759,292
"02/13/2013 00:15:00","EST","N.Y.C.",61761,5051.1
"02/13/2013 00:15:00","EST","NORTH",61755,779.1
"02/13/2013 00:15:00","EST","WEST",61752,1654.7
"02/13/2013 00:20:00","EST","CAPITL",61757,1195.5
"02/13/2013 00:20:00","EST","CENTRL",61754,1750.9
"02/13/2013 00:20:00","EST","DUNWOD",61760,584.3
"02/13/2013 00:20:00","EST","GENESE",61753,1014.7
"02/13/2013 00:20:00","EST","HUD VL",61758,922.6
"02/13/2013 00:20:00","EST","LONGIL",61762,2044
"02/13/2013 00:20:00","EST","MHK VL",61756,922.2
"02/13/2013 00:20:00","EST","MILLWD",61759,272.8
"02/13/2013 00:20:00","EST","N.Y.C.",61761,5026.8
"02/13/2013 00:20:00","EST","NORTH",61755,785.5
"02/13/2013 00:20:00","EST","WEST",61752,1629.5
"02/13/2013 00:25:00","EST","CAPITL",61757,1174.8
"02/13/2013 00:25:00","EST","CENTRL",61754,1756.8
"02/13/2013 00:25:00","EST","DUNWOD",61760,591
"02/13/2013 00:25:00","EST","GENESE",61753,1007.7
"02/13/2013 00:25:00","EST","HUD VL",61758,927.1
"02/13/2013 00:25:00","EST","LONGIL",61762,2027.8
"02/13/2013 00:25:00","EST","MHK VL",61756,925.5
"02/13/2013 00:25:00","EST","MILLWD",61759,276.1
"02/13/2013 00:25:00","EST","N.Y.C.",61761,4995.9
"02/13/2013 00:25:00","EST","NORTH",61755,784.3
"02/13/2013 00:25:00","EST","WEST",61752,1628.7
"02/13/2013 00:30:00","EST","CAPITL",61757,1176.9
"02/13/2013 00:30:00","EST","CENTRL",61754,1744.3
"02/13/2013 00:30:00","EST","DUNWOD",61760,585.5
"02/13/2013 00:30:00","EST","GENESE",61753,999.5
"02/13/2013 00:30:00","EST","HUD VL",61758,919.6
"02/13/2013 00:30:00","EST","LONGIL",61762,2019.3
"02/13/2013 00:30:00","EST","MHK VL",61756,912.4
"02/13/2013 00:30:00","EST","MILLWD",61759,256.6
"02/13/2013 00:30:00","EST","N.Y.C.",61761,4945.4
"02/13/2013 00:30:00","EST","NORTH",61755,783.7
"02/13/2013 00:30:00","EST","WEST",61752,1625.9
"02/13/2013 00:35:00","EST","CAPITL",61757,1167.1
"02/13/2013 00:35:00","EST","CENTRL",61754,1740.2
"02/13/2013 00:35:00","EST","DUNWOD",61760,570.3
"02/13/2013 00:35:00","EST","GENESE",61753,998
"02/13/2013 00:35:00","EST","HUD VL",61758,936.2
"02/13/2013 00:35:00","EST","LONGIL",61762,2024.3
"02/13/2013 00:35:00","EST","MHK VL",61756,909.6
"02/13/2013 00:35:00","EST","MILLWD",61759,262.6
"02/13/2013 00:35:00","EST","N.Y.C.",61761,4912.3
"02/13/2013 00:35:00","EST","NORTH",61755,788.1
"02/13/2013 00:35:00","EST","WEST",61752,1596
"02/13/2013 00:40:00","EST","CAPITL",61757,1175
"02/13/2013 00:40:00","EST","CENTRL",61754,1711.8
