"Time Stamp","Time Zone","Name","PTID","Load"
"03/19/2013 00:00:00","EDT","CAPITL",61757,1232.8
"03/19/2013 00:00:00","EDT","CENTRL",61754,1749.4
"03/19/2013 00:00:00","EDT","DUNWOD",61760,652.7
"03/19/2013 00:00:00","EDT","GENESE",61753,1191.3
"03/19/2013 00:00:00","EDT","HUD VL",61758,996.4
"03/19/2013 00:00:00","EDT","LONGIL",61762,2165.8
"03/19/2013 00:00:00","EDT","MHK VL",61756,890.5
"03/19/2013 00:00:00","EDT","MILLWD",61759,276.8
"03/19/2013 00:00:00","EDT","N.Y.C.",61761,5293.8
"03/19/2013 00:00:00","EDT","NORTH",61755,779.8
"03/19/2013 00:00:00","EDT","WEST",61752,1593.9
"03/19/2013 00:05:00","EDT","CAPITL",61757,1222.9
"03/19/2013 00:05:00","EDT","CENTRL",61754,1763
"03/19/2013 00:05:00","EDT","DUNWOD",61760,636.8
"03/19/2013 00:05:00","EDT","GENESE",61753,1189.1
"03/19/2013 00:05:00","EDT","HUD VL",61758,987.5
"03/19/2013 00:05:00","EDT","LONGIL",61762,2142.5
"03/19/2013 00:05:00","EDT","MHK VL",61756,882.8
"03/19/2013 00:05:00","EDT","MILLWD",61759,300.7
"03/19/2013 00:05:00","EDT","N.Y.C.",61761,5239.3
"03/19/2013 00:05:00","EDT","NORTH",61755,780
"03/19/2013 00:05:00","EDT","WEST",61752,1570.4
"03/19/2013 00:10:00","EDT","CAPITL",61757,1214.7
"03/19/2013 00:10:00","EDT","CENTRL",61754,1751.4
"03/19/2013 00:10:00","EDT","DUNWOD",61760,627.6
"03/19/2013 00:10:00","EDT","GENESE",61753,1188.3
"03/19/2013 00:10:00","EDT","HUD VL",61758,954.2
"03/19/2013 00:10:00","EDT","LONGIL",61762,2122.4
"03/19/2013 00:10:00","EDT","MHK VL",61756,879.1
"03/19/2013 00:10:00","EDT","MILLWD",61759,307
"03/19/2013 00:10:00","EDT","N.Y.C.",61761,5204.1
"03/19/2013 00:10:00","EDT","NORTH",61755,795.5
"03/19/2013 00:10:00","EDT","WEST",61752,1542.3
"03/19/2013 00:15:00","EDT","CAPITL",61757,1213.3
"03/19/2013 00:15:00","EDT","CENTRL",61754,1745.4
"03/19/2013 00:15:00","EDT","DUNWOD",61760,624.8
"03/19/2013 00:15:00","EDT","GENESE",61753,1177.6
"03/19/2013 00:15:00","EDT","HUD VL",61758,954.9
"03/19/2013 00:15:00","EDT","LONGIL",61762,2101.7
"03/19/2013 00:15:00","EDT","MHK VL",61756,886.2
"03/19/2013 00:15:00","EDT","MILLWD",61759,306
"03/19/2013 00:15:00","EDT","N.Y.C.",61761,5182
"03/19/2013 00:15:00","EDT","NORTH",61755,782.2
"03/19/2013 00:15:00","EDT","WEST",61752,1552.2
"03/19/2013 00:20:00","EDT","CAPITL",61757,1207
"03/19/2013 00:20:00","EDT","CENTRL",61754,1731.8
"03/19/2013 00:20:00","EDT","DUNWOD",61760,623
"03/19/2013 00:20:00","EDT","GENESE",61753,1174.6
"03/19/2013 00:20:00","EDT","HUD VL",61758,948.6
"03/19/2013 00:20:00","EDT","LONGIL",61762,2106.8
"03/19/2013 00:20:00","EDT","MHK VL",61756,888
"03/19/2013 00:20:00","EDT","MILLWD",61759,304.9
"03/19/2013 00:20:00","EDT","N.Y.C.",61761,5159.7
"03/19/2013 00:20:00","EDT","NORTH",61755,769.6
"03/19/2013 00:20:00","EDT","WEST",61752,1542.9
"03/19/2013 00:25:00","EDT","CAPITL",61757,1194
"03/19/2013 00:25:00","EDT","CENTRL",61754,1738.2
"03/19/2013 00:25:00","EDT","DUNWOD",61760,611.6
"03/19/2013 00:25:00","EDT","GENESE",61753,1171.9
"03/19/2013 00:25:00","EDT","HUD VL",61758,941.5
"03/19/2013 00:25:00","EDT","LONGIL",61762,2093.2
"03/19/2013 00:25:00","EDT","MHK VL",61756,873.8
"03/19/2013 00:25:00","EDT","MILLWD",61759,303.3
"03/19/2013 00:25:00","EDT","N.Y.C.",61761,5121.3
"03/19/2013 00:25:00","EDT","NORTH",61755,780.8
"03/19/2013 00:25:00","EDT","WEST",61752,1536.1
"03/19/2013 00:30:00","EDT","CAPITL",61757,1199.9
"03/19/2013 00:30:00","EDT","CENTRL",61754,1733.7
"03/19/2013 00:30:00","EDT","DUNWOD",61760,609.4
"03/19/2013 00:30:00","EDT","GENESE",61753,1162.7
"03/19/2013 00:30:00","EDT","HUD VL",61758,942.7
"03/19/2013 00:30:00","EDT","LONGIL",61762,2073.4
"03/19/2013 00:30:00","EDT","MHK VL",61756,869.2
"03/19/2013 00:30:00","EDT","MILLWD",61759,283.6
"03/19/2013 00:30:00","EDT","N.Y.C.",61761,5119
"03/19/2013 00:30:00","EDT","NORTH",61755,783.2
"03/19/2013 00:30:00","EDT","WEST",61752,1549.5
"03/19/2013 00:35:00","EDT","CAPITL",61757,1203.4
"03/19/2013 00:35:00","EDT","CENTRL",61754,1729.1
"03/19/2013 00:35:00","EDT","DUNWOD",61760,605.2
"03/19/2013 00:35:00","EDT","GENESE",61753,1166.6
"03/19/2013 00:35:00","EDT","HUD VL",61758,921.5
"03/19/2013 00:35:00","EDT","LONGIL",61762,2063.2
